Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
4;2022-09-02 09:00:00;2020-09-14;VR01;Groningen;951;37
4;2022-09-02 09:00:00;2020-09-15;VR01;Groningen;919;49
4;2022-09-02 09:00:00;2020-09-16;VR01;Groningen;921;43
4;2022-09-02 09:00:00;2020-09-17;VR01;Groningen;932;59
4;2022-09-02 09:00:00;2020-09-18;VR01;Groningen;900;61
4;2022-09-02 09:00:00;2020-09-19;VR01;Groningen;748;65
4;2022-09-02 09:00:00;2020-09-20;VR01;Groningen;778;71
4;2022-09-02 09:00:00;2020-09-21;VR01;Groningen;967;77
4;2022-09-02 09:00:00;2020-09-22;VR01;Groningen;1033;71
4;2022-09-02 09:00:00;2020-09-23;VR01;Groningen;1020;75
4;2022-09-02 09:00:00;2020-09-24;VR01;Groningen;1039;87
4;2022-09-02 09:00:00;2020-09-25;VR01;Groningen;1081;94
4;2022-09-02 09:00:00;2020-09-26;VR01;Groningen;1050;81
4;2022-09-02 09:00:00;2020-09-27;VR01;Groningen;872;94
4;2022-09-02 09:00:00;2020-09-28;VR01;Groningen;1038;88
4;2022-09-02 09:00:00;2020-09-29;VR01;Groningen;1061;97
4;2022-09-02 09:00:00;2020-09-30;VR01;Groningen;1126;80
4;2022-09-02 09:00:00;2020-10-01;VR01;Groningen;1137;75
4;2022-09-02 09:00:00;2020-10-02;VR01;Groningen;1115;90
4;2022-09-02 09:00:00;2020-10-03;VR01;Groningen;1037;100
4;2022-09-02 09:00:00;2020-10-04;VR01;Groningen;701;89
4;2022-09-02 09:00:00;2020-10-05;VR01;Groningen;1519;175
4;2022-09-02 09:00:00;2020-10-06;VR01;Groningen;1548;163
4;2022-09-02 09:00:00;2020-10-07;VR01;Groningen;1699;142
4;2022-09-02 09:00:00;2020-10-08;VR01;Groningen;1602;145
4;2022-09-02 09:00:00;2020-10-09;VR01;Groningen;1595;130
4;2022-09-02 09:00:00;2020-10-10;VR01;Groningen;1189;103
4;2022-09-02 09:00:00;2020-10-11;VR01;Groningen;1158;117
4;2022-09-02 09:00:00;2020-10-12;VR01;Groningen;1456;158
4;2022-09-02 09:00:00;2020-10-13;VR01;Groningen;1518;164
4;2022-09-02 09:00:00;2020-10-14;VR01;Groningen;1481;149
4;2022-09-02 09:00:00;2020-10-15;VR01;Groningen;1571;105
4;2022-09-02 09:00:00;2020-10-16;VR01;Groningen;1644;107
4;2022-09-02 09:00:00;2020-10-17;VR01;Groningen;1297;116
4;2022-09-02 09:00:00;2020-10-18;VR01;Groningen;1156;108
4;2022-09-02 09:00:00;2020-10-19;VR01;Groningen;1583;133
4;2022-09-02 09:00:00;2020-10-20;VR01;Groningen;1523;113
4;2022-09-02 09:00:00;2020-10-21;VR01;Groningen;1494;93
4;2022-09-02 09:00:00;2020-10-22;VR01;Groningen;1600;142
4;2022-09-02 09:00:00;2020-10-23;VR01;Groningen;1425;104
4;2022-09-02 09:00:00;2020-10-24;VR01;Groningen;1045;137
4;2022-09-02 09:00:00;2020-10-25;VR01;Groningen;750;61
4;2022-09-02 09:00:00;2020-10-26;VR01;Groningen;1441;74
4;2022-09-02 09:00:00;2020-10-27;VR01;Groningen;1489;96
4;2022-09-02 09:00:00;2020-10-28;VR01;Groningen;1244;69
4;2022-09-02 09:00:00;2020-10-29;VR01;Groningen;1226;68
4;2022-09-02 09:00:00;2020-10-30;VR01;Groningen;1091;103
4;2022-09-02 09:00:00;2020-10-31;VR01;Groningen;639;55
4;2022-09-02 09:00:00;2020-11-01;VR01;Groningen;551;49
4;2022-09-02 09:00:00;2020-11-02;VR01;Groningen;1267;82
4;2022-09-02 09:00:00;2020-11-03;VR01;Groningen;1048;76
4;2022-09-02 09:00:00;2020-11-04;VR01;Groningen;1034;69
4;2022-09-02 09:00:00;2020-11-05;VR01;Groningen;981;57
4;2022-09-02 09:00:00;2020-11-06;VR01;Groningen;918;60
4;2022-09-02 09:00:00;2020-11-07;VR01;Groningen;604;44
4;2022-09-02 09:00:00;2020-11-08;VR01;Groningen;519;38
4;2022-09-02 09:00:00;2020-11-09;VR01;Groningen;1211;69
4;2022-09-02 09:00:00;2020-11-10;VR01;Groningen;1240;70
4;2022-09-02 09:00:00;2020-11-11;VR01;Groningen;1223;80
4;2022-09-02 09:00:00;2020-11-12;VR01;Groningen;1152;67
4;2022-09-02 09:00:00;2020-11-13;VR01;Groningen;951;58
4;2022-09-02 09:00:00;2020-11-14;VR01;Groningen;635;39
4;2022-09-02 09:00:00;2020-11-15;VR01;Groningen;552;39
4;2022-09-02 09:00:00;2020-11-16;VR01;Groningen;1497;96
4;2022-09-02 09:00:00;2020-11-17;VR01;Groningen;1296;93
4;2022-09-02 09:00:00;2020-11-18;VR01;Groningen;1405;93
4;2022-09-02 09:00:00;2020-11-19;VR01;Groningen;1340;105
4;2022-09-02 09:00:00;2020-11-20;VR01;Groningen;1165;71
4;2022-09-02 09:00:00;2020-11-21;VR01;Groningen;810;49
4;2022-09-02 09:00:00;2020-11-22;VR01;Groningen;760;44
4;2022-09-02 09:00:00;2020-11-23;VR01;Groningen;1558;104
4;2022-09-02 09:00:00;2020-11-24;VR01;Groningen;1399;72
4;2022-09-02 09:00:00;2020-11-25;VR01;Groningen;1407;86
4;2022-09-02 09:00:00;2020-11-26;VR01;Groningen;1370;83
4;2022-09-02 09:00:00;2020-11-27;VR01;Groningen;1280;73
4;2022-09-02 09:00:00;2020-11-28;VR01;Groningen;813;64
4;2022-09-02 09:00:00;2020-11-29;VR01;Groningen;801;60
4;2022-09-02 09:00:00;2020-11-30;VR01;Groningen;1703;96
4;2022-09-02 09:00:00;2020-12-01;VR01;Groningen;1774;114
4;2022-09-02 09:00:00;2020-12-02;VR01;Groningen;1813;130
4;2022-09-02 09:00:00;2020-12-03;VR01;Groningen;1668;119
4;2022-09-02 09:00:00;2020-12-04;VR01;Groningen;1582;139
4;2022-09-02 09:00:00;2020-12-05;VR01;Groningen;986;94
4;2022-09-02 09:00:00;2020-12-06;VR01;Groningen;1139;93
4;2022-09-02 09:00:00;2020-12-07;VR01;Groningen;2049;192
4;2022-09-02 09:00:00;2020-12-08;VR01;Groningen;2217;162
4;2022-09-02 09:00:00;2020-12-09;VR01;Groningen;2505;187
4;2022-09-02 09:00:00;2020-12-10;VR01;Groningen;2528;181
4;2022-09-02 09:00:00;2020-12-11;VR01;Groningen;2520;239
4;2022-09-02 09:00:00;2020-12-12;VR01;Groningen;1694;148
4;2022-09-02 09:00:00;2020-12-13;VR01;Groningen;1652;111
4;2022-09-02 09:00:00;2020-12-14;VR01;Groningen;2672;224
4;2022-09-02 09:00:00;2020-12-15;VR01;Groningen;2668;245
4;2022-09-02 09:00:00;2020-12-16;VR01;Groningen;2657;222
4;2022-09-02 09:00:00;2020-12-17;VR01;Groningen;2425;204
4;2022-09-02 09:00:00;2020-12-18;VR01;Groningen;2428;226
4;2022-09-02 09:00:00;2020-12-19;VR01;Groningen;1842;173
4;2022-09-02 09:00:00;2020-12-20;VR01;Groningen;1752;138
4;2022-09-02 09:00:00;2020-12-21;VR01;Groningen;2687;250
4;2022-09-02 09:00:00;2020-12-22;VR01;Groningen;2723;247
4;2022-09-02 09:00:00;2020-12-23;VR01;Groningen;2854;207
4;2022-09-02 09:00:00;2020-12-24;VR01;Groningen;2166;162
4;2022-09-02 09:00:00;2020-12-25;VR01;Groningen;1624;169
4;2022-09-02 09:00:00;2020-12-26;VR01;Groningen;1148;91
4;2022-09-02 09:00:00;2020-12-27;VR01;Groningen;1269;124
4;2022-09-02 09:00:00;2020-12-28;VR01;Groningen;2199;227
4;2022-09-02 09:00:00;2020-12-29;VR01;Groningen;2311;208
4;2022-09-02 09:00:00;2020-12-30;VR01;Groningen;2166;222
4;2022-09-02 09:00:00;2020-12-31;VR01;Groningen;1610;170
4;2022-09-02 09:00:00;2021-01-01;VR01;Groningen;1192;172
4;2022-09-02 09:00:00;2021-01-02;VR01;Groningen;1553;156
4;2022-09-02 09:00:00;2021-01-03;VR01;Groningen;1325;106
4;2022-09-02 09:00:00;2021-01-04;VR01;Groningen;2134;224
4;2022-09-02 09:00:00;2021-01-05;VR01;Groningen;2128;215
4;2022-09-02 09:00:00;2021-01-06;VR01;Groningen;2157;180
4;2022-09-02 09:00:00;2021-01-07;VR01;Groningen;1782;147
4;2022-09-02 09:00:00;2021-01-08;VR01;Groningen;1577;118
4;2022-09-02 09:00:00;2021-01-09;VR01;Groningen;1246;96
4;2022-09-02 09:00:00;2021-01-10;VR01;Groningen;944;99
4;2022-09-02 09:00:00;2021-01-11;VR01;Groningen;1748;184
4;2022-09-02 09:00:00;2021-01-12;VR01;Groningen;1407;125
4;2022-09-02 09:00:00;2021-01-13;VR01;Groningen;1636;136
